Date,Open,High,Low,Close,Adj Close,Volume
2019-05-23,12.956,13.298,12.4147,12.9067,13.0327,3.98206e+08
2019-05-24,13.322,13.332,12.5833,13.106,12.7087,2.12049e+08
2019-05-28,12.7467,13,12.5233,13.73,12.58,1.54694e+08
2019-05-29,12.4733,12.826,12.336,13.6333,12.6573,1.79529e+08
2019-05-30,12.5833,12.8173,12.468,14.192,12.548,1.18898e+08
2019-05-31,12.34,12.6613,12.2733,14.4733,12.344,1.561e+08
2019-06-03,12.3673,12.4453,11.7993,13.9507,11.9313,1.95966e+08
2019-06-04,12.0733,12.932,11.974,14.2607,12.9067,2.07112e+08
2019-06-05,13.2453,13.4187,12.79,14.328,13.106,2.02662e+08
2019-06-06,13.6293,14.0667,13.4533,15.002,13.73,3.03633e+08
2019-06-07,13.6667,14.056,13.5667,14.9827,13.6333,2.40052e+08
2019-06-10,14.0167,14.4627,13.934,15.0953,14.192,1.58775e+08
2019-06-11,14.6093,14.7267,14.2333,14.6413,14.4733,1.74802e+08
2019-06-12,14.8633,14.892,13.9333,14.7907,13.9507,2.27962e+08
2019-06-13,14.0253,14.3267,13.834,14.9093,14.2607,1.22524e+08
2019-06-14,14.0833,14.4433,14.0267,14.6507,14.328,1.11501e+08
2019-06-17,14.3653,15.1333,14.2847,14.618,15.002,1.84752e+08
2019-06-18,15.248,15.6493,14.8373,14.856,14.9827,1.90737e+08
2019-06-19,15.0073,15.1847,14.7373,14.8973,15.0953,9.86265e+07
2019-06-20,14.8667,15.1267,14.4233,15.1447,14.6413,1.77952e+08
2019-06-21,14.4147,14.812,14.3667,14.97,14.7907,1.23032e+08
2019-06-24,14.8827,15.0573,14.7347,15.66,14.9093,8.6262e+07
2019-06-25,14.9593,15.0227,14.6327,15.54,14.6507,9.27315e+07
2019-06-26,14.6873,15.1487,14.54,15.356,14.618,1.27608e+08
2019-06-27,14.63,14.86,14.49,15.3373,14.856,9.50955e+07
2019-06-28,14.7327,15.0113,14.72,15.928,14.8973,1.02771e+08
2019-07-01,15.3473,15.54,15.0853,15.9067,15.1447,1.23201e+08
2019-07-02,15.2593,15.2767,14.8147,16.3387,14.97,1.38885e+08
2019-07-03,15.9593,16.1047,15.634,16.9,15.66,2.13016e+08
2019-07-05,15.638,15.6967,15.3867,16.8253,15.54,1.05986e+08
2019-07-08,15.416,15.4833,15.244,16.9907,15.356,8.82075e+07
2019-07-09,15.2647,15.4,15.152,16.9027,15.3373,9.2862e+07
2019-07-10,15.61,15.9293,15.5427,17.212,15.928,1.37186e+08
2019-07-11,15.876,16.1,15.72,17.0453,15.9067,1.12716e+08
2019-07-12,15.9833,16.3587,15.9807,17.3447,16.3387,1.38008e+08
2019-07-15,16.5333,16.9613,16.324,17.6587,16.9,1.65002e+08
2019-07-16,16.62,16.902,16.5287,15.2547,16.8253,1.22235e+08
2019-07-17,17.0447,17.2207,16.89,15.2027,16.9907,1.4647e+08
2019-07-18,17.0033,17.05,16.7927,15.718,16.9027,7.1379e+07
2019-07-19,17.046,17.3307,16.9747,16.1507,17.212,1.05726e+08
2019-07-22,17.25,17.4767,16.946,16.1073,17.0453,1.02636e+08
2019-07-23,17.114,17.3653,16.9667,15.59,17.3447,7.53465e+07
2019-07-24,17.278,17.738,17.2107,15.6227,17.6587,1.66092e+08
2019-07-25,15.5667,15.6333,15.0367,15.2213,15.2547,3.36274e+08
2019-07-26,15.128,15.3507,14.8167,15.3833,15.2027,1.50416e+08
2019-07-29,15.1393,15.7293,15.0687,15.5613,15.718,1.391e+08
2019-07-30,15.5267,16.224,15.4787,15.8867,16.1507,1.21635e+08
2019-07-31,16.2,16.4453,15.7767,15.6673,16.1073,1.37673e+08
2019-08-01,16.1767,16.3007,15.4513,15.2673,15.59,1.23892e+08
2019-08-02,15.4233,15.7513,15.282,15.6667,15.6227,9.20475e+07
2019-08-05,15.3067,15.4247,15.052,14.6413,15.2213,1.05424e+08
2019-08-06,15.4587,15.5,15.05,14.376,15.3833,8.3463e+07
2019-08-07,15.1,15.5713,15.0533,14.6627,15.5613,7.16475e+07
2019-08-08,15.63,15.9867,15.51,15.122,15.8867,7.91145e+07
2019-08-09,15.7367,15.9307,15.5873,15.0573,15.6673,5.8473e+07
2019-08-12,15.5327,15.718,15.25,14.722,15.2673,6.99585e+07
2019-08-13,15.254,15.7333,15.17,14.81,15.6667,7.27215e+07
2019-08-14,15.414,15.4333,14.446,14.0933,14.6413,1.43439e+08
2019-08-15,14.724,14.7707,14.1033,14.3333,14.376,1.22394e+08
2019-08-16,14.444,14.816,14.4013,14.272,14.6627,7.64775e+07
2019-08-19,14.9473,15.1887,14.78,14.3727,15.122,7.9644e+07
2019-08-20,15.1747,15.2727,14.9693,14.7807,15.0573,6.1878e+07
2019-08-21,14.8007,14.8813,14.5067,15.0407,14.722,1.16914e+08
2019-08-22,14.8533,15.0267,14.548,15.0007,14.81,9.8385e+07
2019-08-23,14.6647,14.7447,14.0667,14.712,14.0933,1.28079e+08
2019-08-26,14.24,14.3347,14.1027,15.3053,14.3333,7.57785e+07
2019-08-27,14.3827,14.5867,14.1353,15.1633,14.272,8.1243e+07
2019-08-28,14.246,14.4833,14.154,15.4527,14.3727,4.83825e+07
2019-08-29,14.6,14.8933,14.5333,15.7027,14.7807,7.76925e+07
2019-08-30,15.2767,15.496,14.9473,16.4733,15.0407,1.39809e+08
2019-09-03,14.9387,15.2633,14.8773,16.3913,15.0007,8.03115e+07
2019-09-04,15.126,15.2307,14.614,16.3467,14.712,8.6415e+07
2019-09-05,14.8333,15.32,14.7233,16.1873,15.3053,1.1093e+08
2019-09-06,15.1467,15.3093,15.0113,16.3193,15.1633,6.2841e+07
2019-09-09,15.3333,15.584,15.282,16.2327,15.4527,7.20405e+07
2019-09-10,15.3867,15.7027,15.2627,16.44,15.7027,7.32555e+07
2019-09-11,15.8253,16.5447,15.7333,16.0413,16.4733,1.50642e+08
2019-09-12,16.5133,16.9,16.2933,16.082,16.3913,1.28718e+08
2019-09-13,16.464,16.5633,16.3247,14.8807,16.3467,7.96965e+07
2019-09-16,16.4,16.4953,16.078,15.2467,16.1873,7.09215e+07
2019-09-17,16.1647,16.3733,16.0247,16.1707,16.3193,5.7981e+07
2019-09-18,16.3333,16.5447,16.158,16.142,16.2327,6.2553e+07
2019-09-19,16.4,16.5293,16.3227,16.058,16.44,7.1937e+07
2019-09-20,16.4327,16.4633,15.8773,16.3127,16.0413,9.5295e+07
2019-09-23,16,16.3453,15.948,16.2087,16.082,6.5103e+07
2019-09-24,16.1013,16.1327,14.8407,15.5353,14.8807,1.93372e+08
2019-09-25,14.9707,15.2653,14.5573,15.4287,15.2467,1.41406e+08
2019-09-26,15.3773,16.2207,15.16,15.848,16.1707,1.78268e+08
