,Open,High,Low,Close,Adj Close,Volume
,14.687333,15.148667,14.540000,15.561333,14.618000,127608000
,14.630000,14.860000,14.490000,15.886667,14.856000,95095500
,14.732667,15.011333,14.720000,15.667333,14.897333,102771000
,15.347333,15.540000,15.085333,15.267333,15.144667,123201000
,15.259333,15.276667,14.814667,15.666667,14.970000,138885000
,15.959333,16.104668,15.634000,14.641333,15.660000,213016500
,15.638000,15.696667,15.386667,14.376000,15.540000,105985500
,15.416000,15.483333,15.244000,14.662667,15.356000,88207500
,15.264667,15.400000,15.152000,15.122000,15.337333,92862000
,15.610000,15.929333,15.542667,15.057333,15.928000,137185500
,15.876000,16.100000,15.720000,14.722000,15.906667,112716000
,15.983333,16.358667,15.980667,14.810000,16.338667,138007500
,16.533333,16.961332,16.323999,14.093333,16.900000,165001500
,16.620001,16.902000,16.528667,14.333333,16.825333,122235000
,17.044666,17.220667,16.889999,14.272000,16.990667,146470500
,17.003332,17.049999,16.792667,14.372667,16.902666,71379000
,17.046000,17.330667,16.974667,14.780667,17.212000,105726000
,17.250000,17.476667,16.945999,15.040667,17.045334,102636000
,17.114000,17.365334,16.966667,15.000667,17.344667,75346500
,17.278000,17.738001,17.210667,14.712000,17.658667,166092000
,15.566667,15.633333,15.036667,15.305333,15.254667,336274500
,15.128000,15.350667,14.816667,15.163333,15.202667,150415500
,15.139333,15.729333,15.068667,15.452667,15.718000,139099500
,15.526667,16.224001,15.478667,15.702667,16.150667,121635000
,16.200001,16.445333,15.776667,16.473333,16.107332,137673000
,16.176666,16.300667,15.451333,16.391333,15.590000,123892500
,15.423333,15.751333,15.282000,16.346666,15.622667,92047500
,15.306667,15.424667,15.052000,16.187332,15.221333,105424500
,15.458667,15.500000,15.050000,16.319332,15.383333,83463000
,15.100000,15.571333,15.053333,16.232668,15.561333,71647500
,15.630000,15.986667,15.510000,16.440001,15.886667,79114500
,15.736667,15.930667,15.587333,16.041332,15.667333,58473000
,15.532667,15.718000,15.250000,16.082001,15.267333,69958500
,15.254000,15.733333,15.170000,14.880667,15.666667,72721500
,15.414000,15.433333,14.446000,15.246667,14.641333,143439000
,14.724000,14.770667,14.103333,16.170668,14.376000,122394000
,14.444000,14.816000,14.401333,16.142000,14.662667,76477500
,14.947333,15.188667,14.780000,16.058001,15.122000,79644000
