Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,22.7,22.9307,22.0093,23.166,22.76,117465000
2018-11-06,22.6047,23.2533,22.406,22.546,22.7373,101444000
2018-11-07,22.8893,23.412,22.72,21.722,23.2107,110618000
2018-11-08,23.2333,23.8387,23.2293,23.0667,23.4267,106360000
2018-11-09,23.2667,23.6,23.0153,22.928,23.3673,76482000
2018-11-12,23.2247,23.3187,22.0227,23.1913,22.0853,104122000
2018-11-13,22.2107,22.98,22.1467,22.7447,22.582,81729000
2018-11-14,22.8467,23.1407,22.4767,23.3653,22.9333,75604500
2018-11-15,22.822,23.2387,22.6027,23.8993,23.2293,69385500
2018-11-16,23.0127,23.7133,23.008,23.98,23.6207,108093000
2018-11-19,23.756,24.45,23.5253,24.204,23.5647,145634000
2018-11-20,22.7833,23.32,22.2367,23.8647,23.166,120070000
2018-11-21,23.4667,23.54,22.4933,24.3433,22.546,70302000
2018-11-23,22.29,22.5,21.7033,24.4507,21.722,63039000
2018-11-26,21.6667,23.0813,21.6667,24.44,23.0667,119882000
2018-11-27,22.67,23.1307,22.3667,25.1193,22.928,95374500
2018-11-28,23.066,23.2187,22.814,24.3807,23.1913,61914000
2018-11-29,23.1333,23.1667,22.6367,23.228,22.7447,46210500
2018-11-30,22.7887,23.44,22.5507,22.4687,23.3653,84436500
2018-12-03,24,24.4,23.4667,22.198,23.8993,124598000
2018-12-04,23.7367,24.5787,23.4667,21.0253,23.98,126928000
2018-12-06,23.734,24.492,23.384,21.318,24.204,117638000
2018-12-07,24.6,25.2993,23.8433,19.6927,23.8647,172668000
2018-12-10,24,24.3987,23.5413,21.7393,24.3433,99202500
2018-12-11,24.6607,24.8113,24.0153,21.0753,24.4507,94632000
2018-12-12,24.628,24.794,24.344,22.258,24.44,75405000
2018-12-13,24.6767,25.1627,24.45,22.1867,25.1193,110488000
2018-12-14,25,25.1913,24.2887,20.6747,24.3807,95064000
2018-12-17,24.1333,24.38,22.9253,20.024,23.228,115110000
2018-12-18,23.3693,23.4367,22.246,21.1793,22.4687,106500000
2018-12-19,22.5067,23.134,21.9827,22.3307,22.198,124113000
2018-12-20,21.8033,22.0193,20.7913,22.3567,21.0253,136078000
2018-12-21,21.16,21.5647,20.8293,22.5687,21.318,120252000
2018-12-24,20.9,20.9667,19.68,22.998,19.6927,83398500
2018-12-26,20,21.798,19.606,23.1507,21.7393,122446000
2018-12-27,21.3227,21.478,20.1,22.2933,21.0753,128626000
2018-12-28,21.54,22.416,21.2273,22.962,22.258,149085000
2018-12-31,22.5193,22.614,21.684,23.07,22.1867,94534500
2019-01-02,20.4067,21.0087,19.92,23.154,20.6747,174879000
2019-01-03,20.4667,20.6267,19.8253,20.1507,20.024,104478000
2019-01-04,20.4,21.2,20.182,19.928,21.1793,110912000
2019-01-07,21.448,22.4493,21.1833,19.1727,22.3307,113268000
2019-01-08,22.7973,22.934,21.8013,19.434,22.3567,105128000
2019-01-09,22.3667,22.9,22.098,19.8027,22.5687,81493500
2019-01-10,22.2933,23.026,22.1193,19.7587,22.998,90846000
2019-01-11,22.806,23.2273,22.5847,19.8307,23.1507,75586500
2019-01-14,22.8253,22.8333,22.2667,20.5847,22.2933,78709500
2019-01-15,22.3333,23.2533,22.3,20.468,22.962,90849000
2019-01-16,22.9853,23.4667,22.9,20.814,23.07,70375500
2019-01-17,23.0807,23.4333,22.9433,20.8593,23.154,55150500
2019-01-18,21.5333,21.8087,19.982,21.4233,20.1507,362262000
2019-01-22,20.3213,20.5333,19.7,21.148,19.928,181000000
2019-01-23,19.5,19.6333,18.7793,20.5007,19.1727,187950000
2019-01-24,18.8687,19.5787,18.6187,20.3867,19.434,120183000
2019-01-25,19.626,19.9013,19.3033,20.856,19.8027,108744000
2019-01-28,19.5273,19.8307,19.1833,20.7873,19.7587,96349500
2019-01-29,19.6847,19.904,19.4533,20.5447,19.8307,69325500
2019-01-30,20.03,20.6,19.8993,20.2513,20.5847,168754000
2019-01-31,20.0667,20.7707,19.6,20.5253,20.468,188538000
2019-02-01,20.3613,21.0733,20.2333,20.376,20.814,109251000
2019-02-04,20.8653,21.02,20.1253,20.1707,20.8593,110282000
2019-02-05,20.8327,21.496,20.8167,19.4153,21.4233,101142000
2019-02-06,21.306,21.616,21.0413,19.6473,21.148,75577500
2019-02-07,20.8867,20.98,20.2,19.918,20.5007,97809000
2019-02-08,20.4553,20.4967,19.9,19.8573,20.3867,87663000
2019-02-11,20.7733,21.24,20.7,20.9827,20.856,106946000
2019-02-12,21.08,21.2127,20.6413,21.3253,20.7873,82764000
2019-02-13,20.8233,20.85,20.3713,19.6527,20.5447,77124000
2019-02-14,20.2253,20.4513,20.0667,19.024,20.2513,78012000
2019-02-15,20.3,20.5333,20.26,18.436,20.5253,58573500
2019-02-19,20.4373,20.7693,20.3647,18.416,20.376,62526000
